대여반납번호,회원 ID,도서코드,대여일,반납예정일,반납연기여부,반납일,연체여부,연체일
31,daddystop@gmail.com,A090281,2019.03.10,2019..03.25,0,2019..03.25,0,0
32,phonehu@gmail.com,A090282,2019.03.11,2019..03.26,0,2019..03.26,0,0
33,ddongtree@naver.com,A090283,2019.03.12,2019..03.27,0,2019..03.27,0,0
34,sangjiman@gmail.com,A090284,2019.03.13,2019.04.07,1,2019.04.17,1,10
35,fivetenda@yahoo.com,A090285,2019.03.14,2019..03.29,0,2019..03.29,0,0
36,friendlyship12@gmail.com,A090286,2019.03.15,2019..03.30,0,2019..03.30,0,0
37,sdsrr@naver.com,A090287,2019.03.16,2019.04.10,1,2019.04.10,0,0
38,gotdog24@naver.com,A090288,2019.03.17,2019.04.01,0,2019.04.01,0,0
39,mamatellme@gmail.com,A090289,2019.03.18,2019.04.02,0,2019.04.03,1,1
40,daddystop@gmail.com,A090290,2019.03.19,2019.04.03,0,2019.04.03,0,0
41,phonehu@gmail.com,A090251,2019.03.20,2019.04.04,0,2019.04.04,0,0
42,ddongtree@naver.com,A090252,2019.03.21,2019.04.15,1,2019.04.15,0,0
43,sangjiman@gmail.com,A090253,2019.03.22,2019.04.06,0,2019.04.06,0,0
44,fivetenda@yahoo.com,A090254,2019.03.23,2019.04.07,0,2019.04.09,1,2
45,friendlyship12@gmail.com,A090255,2019.03.24,2019.04.08,0,2019.04.08,0,0
46,sdsrr@naver.com,A090256,2019.03.25,2019.04.19,1,2019.04.19,0,0
47,gotdog24@naver.com,A090257,2019.03.26,2019.04.10,0,2019.04.10,0,0
48,fdfsdasd@naver.com,A090258,2019.03.27,2019.04.11,0,2019.04.11,0,0
49,ggg243r4@gmail.com,A090259,2019.03.28,2019.04.12,0,2019.04.24,1,12
50,sexybot@naver.com,A090260,2019.03.29,2019.04.13,0,2019.04.13,0,0
51,gfdssdh@naver.com,A090261,2019.03.30,2019.04.24,1,2019.04.24,0,0
52,ssdfr@daum.net,A090262,2019.03.31,2019.04.15,0,2019.04.15,0,0
53,ssssrr3@yahoo.com,A090263,2019.05.12,2019.05.27,0,2019.05.27,0,0
54,fddrewe@gmail.com,A090264,2019.05.13,2019.05.28,0,2019.06.25,1,28
55,dsjlreew@gmail.com,A090265,2019.05.14,2019.05.29,0,2019.05.29,0,0
56,dsslsd@gmail.com,A090266,2019.05.15,2019.06.09,1,2019.06.09,0,0
57,fsdshfdjkfsd@naver.com,A090267,2019.05.16,2019.05.31,0,2019.05.31,0,0
58,mamatellme@gmail.com,A090268,2019.05.17,2019.06.01,0,2019.06.21,1,20
59,daddystop@gmail.com,A090269,2019.05.18,2019.06.02,0,2019.06.02,0,0
60,ku23324@naver.com,A090270,2019.05.19,2019.06.13,1,2019.06.13,0,0
61,rekl3@gamil.com,A090271,2019.05.20,2019.06.04,0,2019.06.04,0,0
62,ferw2@naver.com,A090272,2019.05.21,2019.06.05,1,2019.06.25,1,20
63,rwe232@gamil.com,A090273,2019.05.22,2019.06.06,0,2019.06.06,0,0
64,ya2354fr@yahoo.com,A090274,2019.05.23,2019.06.17,1,2019.06.17,0,0
65,sdksdl@daum.net,A090275,2019.05.24,2019.06.08,0,2019.06.18,1,0
66,fivestar@nate.com,A090276,2019.05.25,2019.06.09,0,2019.06.09,0,0
67,sam223@naver.com,A090277,2019.05.26,2019.06.10,0,2019.06.10,0,0
68,dsjlreew@gmail.com,A090278,2019.05.27,2019.06.11,0,2019.06.28,1,0
69,dsslsd@gmail.com,A090279,2019.05.28,2019.06.22,1,2019.06.22,0,0
70,fsdshfdjkfsd@naver.com,A090280,2019.05.29,2019.06.13,0,2019.06.13,0,0
71,mamatellme@gmail.com,A090281,2019.05.30,2019.06.14,0,2019.08.14,1,0
72,daddystop@gmail.com,A090282,2019.05.31,2019.06.25,1,2019.06.25,0,0
73,phonehu@gmail.com,A090283,2020.02.18,2020.03.04,0,,0,
74,ddongtree@naver.com,A090284,2020.02.18,2020.03.14,1,,0,
75,sangjiman@gmail.com,A090285,2020.02.18,2020.03.04,0,,0,
76,fivetenda@yahoo.com,A090286,2020.02.18,2020.03.04,0,,0,
77,friendlyship12@gmail.com,A090287,2020.02.18,2020.03.04,0,,0,
78,sdsrr@naver.com,A090288,2020.02.18,2020.03.14,1,,0,
79,gotdog24@naver.com,A090289,2020.02.18,2020.03.04,0,,0,
80,mamatellme@gmail.com,A090290,2020.02.18,2020.03.04,0,,0,
81,ya2354fr@yahoo.com,A090251,2020.02.18,2020.03.14,1,,0,
82,sdksdl@daum.net,A090252,2020.02.18,2020.03.04,0,,0,
83,fivestar@nate.com,A090253,2020.02.18,2020.03.04,0,,0,
84,sam223@naver.com,A090254,2020.02.18,2020.03.04,0,,0,
85,dsjlreew@gmail.com,A090255,2020.02.18,2020.03.04,0,,0,
86,dsslsd@gmail.com,A090256,2020.02.18,2020.03.14,1,,0,
87,fsdshfdjkfsd@naver.com,A090257,2020.02.18,2020.03.04,0,,0,
88,mamatellme@gmail.com,A090258,2020.02.18,2020.03.04,0,,0,
89,daddystop@gmail.com,A090259,2020.02.18,2020.03.14,1,,0,
90,phonehu@gmail.com,A090260,2020.02.18,2020.03.04,0,,0,
