대여반납번호,회원ID,도서코드,대여일,반납예정일,반납연기여부,반납일,연체여부
50,sexybot@naver.com,0902.010-1,2019.03.29,2019.04.13,0,2019.04.13,0
51,gfdssdh@naver.com,0902.011-1,2019.03.30,2019.04.24,1,2019.04.24,0
52,ssdfr@daum.net,0902.012-1,2019.03.31,2019.04.15,0,2019.04.15,0
53,ssssrr3@yahoo.com,0902.013-1,2019.05.12,2019.05.27,0,2019.05.27,0
54,fddrewe@gmail.com,0902.014-1,2019.05.13,2019.05.28,0,2019.06.25,1
55,dsjlreew@gmail.com,0902.015-1,2019.05.14,2019.05.29,0,2019.05.29,0
56,dsslsd@gmail.com,0902.016-1,2019.05.15,2019.06.09,1,2019.06.09,0
57,fsdshfdjkfsd@naver.com,0902.017-1,2019.05.16,2019.05.31,0,2019.05.31,0
58,mamatellme@gmail.com,0902.018-1,2019.05.17,2019.06.01,0,2019.06.21,1
59,daddystop@gmail.com,0902.019-1,2019.05.18,2019.06.02,0,2019.06.02,0
60,ku23324@naver.com,0902.020-1,2019.05.19,2019.06.13,1,2019.06.13,0
61,rekl3@gamil.com,0902.021-1,2019.05.20,2019.06.04,0,2019.06.04,0
62,ferw2@naver.com,0902.022-1,2019.05.21,2019.06.05,1,2019.06.25,1
63,rwe232@gamil.com,0902.023-1,2019.05.22,2019.06.06,0,2019.06.06,0
64,ya2354fr@yahoo.com,0902.024-1,2019.05.23,2019.06.17,1,2019.06.17,0
65,sdksdl@daum.net,0902.025-1,2019.05.24,2019.06.08,0,2019.06.18,1
66,fivestar@nate.com,0902.026-1,2019.05.25,2019.06.09,0,2019.06.09,0
67,sam223@naver.com,0902.027-1,2019.05.26,2019.06.10,0,2019.06.10,0
68,dsjlreew@gmail.com,0902.028-1,2019.05.27,2019.06.11,0,2019.06.28,1
69,dsslsd@gmail.com,0902.029-1,2019.05.28,2019.06.22,1,2019.06.22,0
70,fsdshfdjkfsd@naver.com,0902.030-1,2019.05.29,2019.06.13,0,2019.06.13,0
71,mamatellme@gmail.com,0902.031-1,2019.05.30,2019.06.14,0,2019.08.14,1
72,daddystop@gmail.com,0902.032-1,2019.05.31,2019.06.25,1,2019.06.25,0
73,phonehu@gmail.com,0902.033-1,2020.02.18,2020.03.04,0,,0
74,ddongtree@naver.com,0902.034-1,2020.02.18,2020.03.14,1,,0
75,sangjiman@gmail.com,0902.035-1,2020.02.18,2020.03.04,0,,0
76,fivetenda@yahoo.com,0902.036-1,2020.02.18,2020.03.04,0,,0
77,friendlyship12@gmail.com,0902.037-1,2020.02.18,2020.03.04,0,,0
78,sdsrr@naver.com,0902.038-1,2020.02.18,2020.03.14,1,,0
79,gotdog24@naver.com,0902.039-1,2020.02.18,2020.03.04,0,,0
80,mamatellme@gmail.com,0902.040-1,2020.02.18,2020.03.04,0,,0
81,ya2354fr@yahoo.com,0902.001-1,2020.02.18,2020.03.14,1,,0
82,sdksdl@daum.net,0902.002-1,2020.02.18,2020.03.04,0,,0
83,fivestar@nate.com,0902.003-1,2020.02.18,2020.03.04,0,,0
84,sam223@naver.com,0902.004-1,2020.02.18,2020.03.04,0,,0
85,dsjlreew@gmail.com,0902.005-1,2020.02.18,2020.03.04,0,,0
86,dsslsd@gmail.com,0902.006-1,2020.02.18,2020.03.14,1,,0
87,fsdshfdjkfsd@naver.com,0902.007-1,2020.02.18,2020.03.04,0,,0
88,mamatellme@gmail.com,0902.008-1,2020.02.18,2020.03.04,0,,0
89,daddystop@gmail.com,0902.009-1,2020.02.18,2020.03.14,1,,0
90,phonehu@gmail.com,0902.010-1,2020.02.18,2020.03.04,0,,0
